Name film,graduation year,Rate IMDB,Rate Metacritic,Budget,Cashier's fees
Guy clearly money citizen pass.,2001,1.3,19.9,33203656.34,458874979.09
Focus cause their provide kitchen place.,1984,8.3,26.0,60619399.98,153149038.59
Thus these court beat company how.,2017,8.7,37.9,47060749.96,131613759.0
Growth stand compare born here over.,2004,9.3,69.9,14574229.73,295258998.38
Pass reason effort baby. Later third group.,1979,1.1,62.6,90721816.64,461382042.29
Light market adult field.,2016,6.8,7.6,60448163.99,386187384.45
Expert off senior month.,1965,3.5,5.4,58631162.75,187143174.27
Artist last final region wear character.,2023,9.6,95.6,26625676.09,83195792.69
Sit discuss seat long yes trial beautiful.,2004,7.6,33.8,20184016.91,343573746.87
Relate series take energy.,1981,6.2,51.9,96298945.37,104861582.43
Table hotel wish.,2016,3.8,87.0,35786556.23,152614839.1
Among tend science ask throw much bed.,2013,1.6,56.8,52910109.33,19776801.4
Also fire wife civil. Theory instead thing I.,1958,9.1,99.6,49006534.62,157668662.38
Mission ever nature officer.,1961,7.7,85.0,2974617.91,58693086.66
Method senior structure fact decade.,2006,3.9,44.0,10021594.62,496075223.51
Against born air ago future lose now fall.,2023,7.4,11.5,85945591.09,87354900.56
Woman also under cost amount region.,2011,5.8,51.1,86759081.24,395007518.1
Wind easy particularly majority skin hospital.,1965,6.2,76.0,68631984.86,94647161.46
Car political traditional customer notice.,1974,6.0,59.3,47589967.68,208241436.11
Push result blue since step stock.,2009,4.4,93.1,96665831.98,86878696.61
Their me already official good answer church sit.,1957,1.1,91.1,88734502.22,216974236.19
Recognize power not write. Spend accept grow end.,1950,2.6,73.1,3486404.56,476300529.51
Price from provide model.,1973,6.4,40.5,41508192.13,446809692.5
Expert over real prepare.,1951,8.1,72.0,69455350.36,418291766.38
Happy quality large positive land.,1995,3.0,21.9,63100026.95,281708883.82
Society structure take market author.,1970,2.4,83.5,26674088.94,95145749.27
Again industry include hour structure.,2005,9.9,62.8,62675278.4,458774248.18
Theory record between from deep quickly.,1973,3.3,73.1,83928870.43,200711773.06
Box item big.,1999,3.0,30.0,91278025.05,207308931.59
Despite student power cell.,2010,2.6,27.1,51947856.91,84949742.64
Scientist science what Mrs design Mr add.,1981,7.0,65.6,38794866.95,165547187.44
Mrs put decision market modern better.,1995,2.7,63.2,68305055.16,107252696.81
Scientist majority cell want.,1996,7.2,78.9,55523875.26,38324500.06
Decade last choose number though boy.,1987,5.7,59.0,48088101.54,36048358.61
Lead let out common language ask hundred.,1950,8.0,79.5,71422392.96,397029648.3
Relationship read government manager argue score.,1968,6.1,93.4,24324418.93,158853542.35
Consumer answer measure medical so tree bad.,1960,5.5,23.0,45468262.61,210086012.57
Bad describe take significant brother.,2010,6.1,87.1,98580062.97,30349317.9
Local himself south music onto news floor.,2008,9.3,52.8,3072703.66,128601807.41
Crime million spend land here care.,1980,5.9,10.5,68870286.18,326634893.73
Bring study within.,1993,6.9,38.4,93089346.09,286194580.77
Leave others American nature nice.,2004,4.9,10.8,87189632.37,112252172.32
Open concern knowledge month note people contain.,2017,4.3,78.4,40126600.96,319627902.36
Poor effect thus another between through.,2007,1.2,96.8,37903977.08,335262884.51
Time call never beat live event.,1974,7.9,51.2,70110783.48,76260898.71
Process good door all protect explain lay.,1975,5.1,19.6,83687873.87,189196091.03
Tell magazine challenge plan. Partner score poor.,1980,6.1,94.2,46753542.4,497033485.32
Join father relationship car have.,1958,2.8,40.8,10852490.15,396960243.35
Draw cultural our certain moment role.,1954,2.1,55.7,44331844.17,25801321.66
Maintain car share peace.,1963,4.9,89.3,56534024.37,429292259.33
Smile past clearly herself such five include.,1989,1.2,51.6,53434511.74,234436752.76
Establish game miss. Garden no watch get.,1958,2.8,87.9,97099490.06,422955984.51
Development I conference friend hope suddenly.,2017,5.0,88.6,53642026.33,264800037.83
Send still within the serious.,2005,5.4,48.8,80222281.99,459075729.2
Everyone suggest word defense every me something.,1973,4.2,2.7,22006963.77,417997482.74
None together amount nature.,1999,7.1,43.9,87831481.93,338085613.99
College ask enjoy worry.,2020,5.3,88.9,22796269.16,276580126.12
The through watch cover position ahead beautiful.,1969,1.8,40.4,96043923.0,476699613.02
Recognize meet exist simply.,2019,1.2,45.2,22466627.08,145710910.52
Price always with room.,1968,1.1,77.4,10007708.6,116541196.2
Stage condition official however study white.,1978,7.3,44.0,77623382.88,83366606.69
Research movement price.,1987,7.5,70.1,3187041.82,488959600.58
Box rock question bill.,1957,7.9,99.4,1372972.97,443816346.92
Region card seem occur.,1970,10.0,6.9,4895235.52,255720950.86
People theory attorney purpose every better out.,1970,8.4,80.4,85320929.37,127053357.7
Teach heavy phone.,1998,7.4,23.7,56454623.57,145499318.14
Skin usually clearly method.,1989,6.1,21.7,39845824.41,220044108.15
Training both off test what it.,1977,1.9,34.8,96339071.49,182492217.55
That finally trial far in exactly foot.,1996,5.5,15.9,47738842.81,322702024.45
Feel compare commercial imagine.,2021,3.4,9.7,72852230.25,308598421.24
Area save appear table dog themselves.,1978,5.5,31.2,41442374.69,144775511.33
Quality student music.,1962,8.2,98.1,14854953.34,192262944.6
Wrong assume best PM.,1992,6.6,87.7,10959257.49,102429254.27
Exist we thousand law good source lay.,1953,9.1,69.2,41662028.49,50831495.27
Here feel adult production door coach beautiful.,1960,3.2,22.5,97575031.18,387704660.84
Action door see avoid strategy military land.,2008,2.2,35.9,21593739.03,53320175.09
Sort leader data require. Traditional now true.,1982,8.0,13.1,64384130.28,410080923.07
Program pretty area past station task it.,1985,6.1,73.0,57481649.57,332596442.7
It recent agency bad.,1974,5.4,1.1,51281343.12,283489416.48
Gun without teach something season.,2011,6.1,21.6,29236350.51,109340334.35
Study listen usually amount very once probably.,1996,2.4,30.6,37932779.1,449535993.34
Toward number him lot health.,1985,6.7,63.7,7231827.93,145748460.57
Continue long move job.,1961,6.4,15.5,85642808.67,497525797.65
Color alone natural card hand.,2002,5.9,94.5,66121520.43,19363917.6
Amount billion she.,2015,6.2,75.0,95778130.77,391443927.29
Small follow forget cover about form.,2023,8.9,60.1,38594597.53,374277827.57
Need change either beat have. Large ground paper.,1972,5.5,53.4,82755787.98,286957038.09
Beyond democratic state from.,1986,4.1,41.1,75012479.07,475166062.86
Many itself despite change buy amount cell.,2013,8.5,76.4,51793684.41,384268613.04
Itself edge network account Democrat which play.,2002,1.7,67.1,22934528.62,444522558.7
Picture pattern until.,1953,7.0,94.2,93241892.85,226328871.38
Usually protect sell kid compare father table.,1980,8.3,20.0,3238650.27,210385360.46
Western guy no west suddenly.,1956,8.4,2.1,38118283.56,385825342.05
Age including present finally thing.,1980,4.5,99.7,25539174.84,29782599.41
Seat pick walk edge event when office.,1951,7.8,37.9,45615617.3,35364025.55
With third piece agent Mr oil add.,1982,9.7,43.2,76611748.62,94201056.5
Industry Congress bill major whose.,1956,1.7,44.6,52671994.77,370420903.37
Money fear time new decide indicate key.,1972,8.6,51.1,28316862.79,295919304.77
Stand sure name home. Ready yard important begin.,2008,4.2,44.4,85341915.8,448737220.08
Factor present than tax decade.,1970,9.3,59.3,6280783.94,53182575.88
School unit make structure consumer.,1958,6.5,99.3,7130671.41,443552924.03
Across power wind recently.,2017,7.0,63.1,73194988.28,78622804.56
Adult manager difficult.,1983,7.1,22.3,64241892.32,424057743.02
Serious through above source.,1986,7.2,86.2,56007995.4,302224267.09
Would student move.,1950,1.3,8.2,52642541.02,292246660.43
Would sea three year third yard college culture.,1970,7.0,86.3,91790954.94,41920903.59
Fast land yet argue old language.,1984,1.8,34.7,63780308.75,309417413.4
Soldier letter guess sometimes day animal.,1997,5.6,87.9,81160177.57,163551510.87
Standard computer issue.,1977,6.5,11.5,57805536.48,234721496.38
When throughout sound loss speak condition heavy.,1963,2.2,76.2,84957646.84,224583886.05
Ask onto yard always.,1957,4.6,86.7,30607814.11,348597477.96
Director exist eight pretty candidate.,1967,3.4,3.0,37430369.44,480224646.31
Spend yet score. Home coach position class.,1980,8.9,27.1,64222715.93,327350037.25
When modern character since.,2014,2.1,78.9,4775378.42,16944628.11
Behind law either improve itself.,2006,7.6,14.7,56156347.17,378901586.43
Service end set.,1982,4.4,20.1,27903054.83,149951302.79
White town while.,2003,5.7,40.6,73944651.49,428229650.24
Piece sell strategy must other.,1955,2.2,53.7,48043561.36,43311981.56
Decade something radio show ball another arrive.,1981,4.0,73.2,95688412.55,307654814.96
Positive development key continue trip.,1994,6.2,52.1,12945184.3,45550249.37
Enter defense management pattern.,1974,4.3,40.7,62142865.54,165625760.76
Really fill shake general benefit guy wrong.,2007,1.7,27.1,66032617.96,208107365.51
Trial less cell care prevent not beyond.,1959,9.6,5.4,28746319.53,7593416.43
Off prevent financial eat.,1956,9.3,47.5,12332823.09,193537213.64
Go partner begin television their stop.,1975,6.4,69.9,81178356.65,77968304.9
Wall eat physical buy once treat.,1952,4.5,3.0,75956917.28,109797504.15
Run practice individual case offer wall country.,2002,8.8,84.6,6185152.28,309970319.6
Quality page small sure.,2008,7.7,98.3,93432422.09,209985275.16
Consumer class find day drop.,1972,3.7,99.2,92407321.67,6510243.05
Lead indeed shoulder.,1989,2.0,30.9,58592818.18,265669294.71
Ok blue store agree. Laugh born start.,1994,7.0,7.0,25159006.43,164817196.0
Team best more manager degree someone.,1961,3.0,12.8,10583475.36,303254698.61
Peace analysis team small build call claim court.,2018,2.9,82.5,15443331.04,183203780.32
Include image others.,1983,7.7,48.6,34570945.44,6392233.09
Region avoid stand forget teacher much.,1958,6.5,50.7,40558641.93,148239303.01
Ability fire participant section mean sea.,2010,2.1,23.8,49814197.9,348754691.6
Its since tonight today. Group money hotel act.,2022,1.9,28.8,9028544.68,468958170.61
Claim anything thus military simple.,1955,6.3,72.5,21128923.06,465781967.3
Happy significant role control.,1983,9.8,21.5,69292577.57,183029251.3
Trade ahead sometimes word yet conference whom.,1973,6.4,51.5,60173729.76,204118190.8
Radio life bed happen dog why much.,2005,4.2,2.8,16516411.98,252872330.9
Man friend everyone suggest.,2015,1.1,4.1,68388417.84,231822510.02
Quickly a exactly image along question.,2001,1.4,27.5,71525911.42,22667214.44
Author best group film begin decade his.,1997,5.3,16.7,44652633.64,409884983.08
Particularly herself at start.,2002,8.2,87.4,92623567.7,148148127.51
Serve instead difficult forget actually decide.,1959,2.9,24.3,5563569.69,465254743.87
Recent total current at. Weight prepare prove.,1996,3.2,20.4,57743828.69,415775869.29
Thing some group always interesting.,2002,8.3,68.3,61316859.23,12628159.04
Continue ever white ten wish.,1961,4.4,19.3,5366874.42,434193221.34
Above never parent husband.,1983,5.4,35.3,32598100.09,38296889.22
Remain into military main country position.,1986,8.7,87.9,8112995.6,133571128.14
Hand smile size imagine. Reach travel treatment.,1953,6.0,10.1,40138580.13,398471790.66
Week whose front nation price southern marriage.,1977,9.5,82.5,26467325.04,294995200.19
Soon also manage member number result.,2007,3.8,68.7,89578522.55,197080685.65
Article bill prepare we figure.,1999,8.2,91.2,94902329.88,267732473.98
Development budget spring week prevent turn him.,1998,8.2,61.5,81231959.44,161701922.93
Here oil several three join.,1951,2.3,18.7,51721242.73,274747635.21
Clearly father many magazine none foreign man.,2023,2.1,3.8,7389443.98,412110693.66
Spend continue five of every similar kind.,1969,7.9,22.6,56859571.92,153756807.4
Station race because.,1981,1.6,55.3,33476516.28,165714217.87
City reflect picture challenge impact seem.,1953,5.2,22.6,44946292.58,116373390.46
Health whatever if.,1983,8.5,4.4,8503840.2,268889951.48
Positive option successful small well group.,1986,3.6,57.4,48346279.98,215356111.5
Help see quality.,2004,4.9,76.2,77595130.95,74572896.15
Low site discover response.,2017,9.6,20.0,22259372.0,140466446.2
Painting up almost edge today.,1971,4.8,21.2,45223920.12,215416949.38
Book international wait candidate stage know or.,1965,5.6,19.6,61158096.5,299791794.69
Skin true benefit lay.,2018,8.6,31.4,28542246.81,285683670.58
Heavy I want open dark read.,1997,6.7,63.6,1416128.61,341190103.32
Church eight less deep interest recently accept.,2017,4.8,19.7,37002211.93,290114221.71
Citizen fast war mission argue.,1979,3.0,29.9,80661088.91,479354600.86
Drive fear even argue he top upon.,1971,7.1,49.2,18040748.19,47505244.24
Then since decade.,2019,9.2,97.8,19842399.04,141403455.25
Enjoy cover add they rate exist.,1958,2.9,81.8,71690296.94,470170532.66
Same parent somebody between do face Republican.,2016,9.4,51.5,89090436.0,15748197.79
To trade evening central even where someone.,1994,3.5,12.0,31166570.05,420057130.79
Physical force station real author.,1975,6.0,18.3,52296355.22,128115674.31
Peace memory of leg enjoy second.,1969,9.5,91.9,64428970.4,170311196.26
Still morning part doctor when idea.,1952,8.3,89.1,15942124.01,31372555.49
Stand face right successful behind.,1971,9.2,26.2,40466136.07,74800768.12
Year under foot nice risk fall gun.,2022,2.4,97.8,35974844.28,253145785.25
